sensorId,lat,lon,boxName,boxId,unit,temperatur_2019-01-17T23Z,temperatur_2019-01-18T00Z,temperatur_2019-01-18T01Z,temperatur_2019-01-18T02Z,temperatur_2019-01-18T03Z,temperatur_2019-01-18T04Z,temperatur_2019-01-18T05Z,temperatur_2019-01-18T06Z,temperatur_2019-01-18T07Z,temperatur_2019-01-18T08Z,temperatur_2019-01-18T09Z,temperatur_2019-01-18T10Z,temperatur_2019-01-18T11Z,temperatur_2019-01-18T12Z,temperatur_2019-01-18T13Z,temperatur_2019-01-18T14Z,temperatur_2019-01-18T15Z,temperatur_2019-01-18T16Z,temperatur_2019-01-18T17Z,temperatur_2019-01-18T18Z,temperatur_2019-01-18T19Z,temperatur_2019-01-18T20Z,temperatur_2019-01-18T21Z,temperatur_2019-01-18T22Z,temperatur_2019-01-18T23Z,temperatur_2019-01-19T00Z,temperatur_2019-01-19T01Z,temperatur_2019-01-19T02Z,temperatur_2019-01-19T03Z,temperatur_2019-01-19T04Z,temperatur_2019-01-19T05Z,temperatur_2019-01-19T06Z,temperatur_2019-01-19T07Z,temperatur_2019-01-19T08Z,temperatur_2019-01-19T09Z,temperatur_2019-01-19T10Z,temperatur_2019-01-19T11Z,temperatur_2019-01-19T12Z,temperatur_2019-01-19T13Z,temperatur_2019-01-19T14Z,temperatur_2019-01-19T15Z,temperatur_2019-01-19T16Z,temperatur_2019-01-19T17Z,temperatur_2019-01-19T18Z,temperatur_2019-01-19T19Z,temperatur_2019-01-19T20Z,temperatur_2019-01-19T21Z,temperatur_2019-01-19T22Z,temperatur_2019-01-19T23Z,temperatur_2019-01-20T00Z
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,°C,4.329855072463768,4.5339416058394155,4.804057971014493,4.577753623188406,4.049057971014492,3.4829197080291974,3.122536231884058,2.899057971014493,2.745255474452555,3.1647826086956523,6.7823913043478266,12.007810218978102,12.475693430656936,11.995,10.065912408759123,8.399416058394161,7.363840579710145,6.23948905109489,5.714057971014492,5.170510948905109,4.6648550724637685,4.413649635036496,3.9476811594202896,3.4751094890510945,3.252028985507246,3.0646376811594203,2.8356204379562047,2.745,2.5925362318840577,1.602189781021898,1.9560869565217391,2.0689855072463765,1.302992700729927,1.0156521739130435,3.414087591240876,8.396666666666667,9.922408759124087,9.15375,6.4178832116788325,5.033550724637681,4.227956204379562,3.4965942028985504,2.8180291970802918,2.2828985507246378,1.8065942028985507,1.4010948905109488,0.9876811594202899,0.6830656934306569,0.4395652173913044,0.08101449275362319
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,°C,2.4925,2.7099999999999995,2.63,1.985,1.5416666666666667,1.2741666666666667,0.8458333333333333,0.6208333333333333,0.5238461538461539,0.7133333333333334,1.6341666666666665,2.7475,4.310833333333333,4.571666666666666,4.269166666666667,4.055384615384615,3.4741666666666666,2.7816666666666667,2.3316666666666666,1.8575,1.3358333333333334,0.806923076923077,0.27416666666666667,-0.24750000000000003,0.21833333333333335,0.1825,-0.1366666666666667,-0.2753846153846154,-0.5475,-1.1833333333333333,-0.9633333333333334,-1.1341666666666665,-1.6233333333333333,-1.8469230769230771,-0.8125,1.0233333333333332,2.540833333333333,3.0574999999999997,2.4341666666666666,2.132307692307692,1.5916666666666668,0.59,0.43250000000000005,0.05538461538461538,-0.4091666666666667,-0.77,-1.3074999999999999,-1.5075,-1.8507692307692307,-2.1533333333333333
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,°C,3.6995,3.8358333333333334,3.352,2.9873333333333334,2.9373333333333336,2.5813333333333333,2.124,1.9751666666666667,1.8964999999999999,4.039666666666666,11.090166666666667,11.701333333333334,12.324833333333334,11.040833333333333,9.608166666666667,8.856666666666666,7.005423728813559,5.7165,4.6185,3.822666666666667,2.707333333333333,2.387,2.2078688524590167,2.178,1.6296666666666666,1.3668333333333333,1.2881666666666665,1.1931666666666667,1.3475,1.1936666666666667,0.7493333333333333,0.792,0.6665,2.293389830508475,6.678,8.483166666666667,7.4875,7.248833333333334,6.869833333333333,6.632068965517242,5.265666666666666,4.264333333333333,3.0140000000000002,2.1863333333333332,1.6616949152542373,1.7530508474576272,1.2383333333333333,0.8131666666666667,0.37783333333333335,-0.0635
5837219353fb45000f9478b5,51.9477,7.5875,Westfälisches Pferdemuseum Münster,5837219353fb45000f9478b0,°C,,,,,,,,,,,0.7,3.1833333333333336,4.033333333333333,4.8500000000000005,4.42,3.516666666666667,1.8666666666666665,9.25185853854297e-18,-0.45,-0.7999999999999999,-1.4833333333333334,-1.5,-1.8333333333333333,-2.433333333333333,-1.7833333333333332,-1.6333333333333335,-1.7166666666666668,-1.7,-2.18,-2.85,-2.283333333333333,-2.4166666666666665,-2.6666666666666665,-2.0500000000000003,-0.30000000000000004,1.78,2.983333333333333,3.3333333333333335,2.966666666666667,2.1166666666666667,1,0.3666666666666667,-0.33999999999999997,-0.45,-1,-1.4833333333333334,-2.1,-2.8666666666666667,-3.6666666666666665,-4.42
591f578c51d34600116a8ea6,51.96422,7.645218,Wetterstation Erpho,591f578c51d34600116a8ea5,°C,2.6026470588235298,2.7587128712871287,2.5762745098039215,1.9997029702970297,1.7169607843137253,1.3987128712871288,1.058529411764706,0.8320588235294119,0.7381188118811881,1.385294117647059,3.539108910891089,5.060882352941177,5.629313725490196,5.948019801980198,5.955588235294118,5.2677450980392155,4.311089108910891,3.3970588235294117,2.8781372549019606,2.3763366336633664,1.8866666666666667,1.5004950495049507,0.9226470588235294,0.5132352941176471,0.3053921568627451,0.07653465346534653,-0.09598039215686274,-0.09411764705882353,-0.13088235294117648,-0.3288118811881188,-0.5508823529411765,-0.5709803921568628,-0.8368627450980393,-0.623960396039604,1.0554901960784313,2.965588235294118,3.383663366336634,4.214901960784314,3.4020588235294116,3.1272277227722776,2.346831683168317,1.4732352941176472,0.8959803921568628,0.35534653465346533,-0.053137254901960786,-0.38794117647058823,-0.7536633663366337,-1.0008823529411766,-1.226764705882353,-1.4527450980392158
593bcd656ccf3b0011791f5b,51.960868,7.604288,CYBER Box,593bcd656ccf3b0011791f5a,°C,3.3501694915254236,3.5084999999999997,3.589322033898305,3.1465,2.6428333333333334,2.1026666666666665,1.385,1.1138983050847457,0.7668965517241378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593c20216ccf3b00117ca2d9,51.905181,7.620859,stuc_sensor,593c20216ccf3b00117ca2d6,°C,1.1666666666666667,1.188,1.1333333333333333,0.7166666666666667,0.23750000000000002,-0.28750000000000003,-0.6583333333333333,-0.8958333333333334,-1.1916666666666667,-0.9708333333333333,-0.2708333333333333,0.8708333333333332,3.625,9.766666666666667,14.133333333333333,14.266666666666666,7.933333333333334,3.908333333333333,3.1999999999999997,2.0500000000000003,1.3136363636363635,0.6590909090909091,0.21363636363636365,-0.15,-0.3090909090909091,-0.6181818181818182,-0.638095238095238,-0.609090909090909,-0.8727272727272727,-1.2291666666666667,-1.3875,-1.5,-2.0166666666666666,-1.9749999999999999,-1.0416666666666667,0.7833333333333333,5.395833333333333,11.983333333333334,12.70909090909091,14.318181818181818,8.17142857142857,3.3454545454545452,1.9227272727272726,0.9000000000000001,0.05,-0.4791666666666667,-0.9708333333333333,-1.5166666666666666,-2.0708333333333333,-2.6083333333333334
599180be7e280a001044b839,51.929339,7.684194,C1024_balcony,599180be7e280a001044b837,°C,3.3874999999999997,3.516666666666667,3.8625000000000003,3.8874999999999997,3.4,2.8041666666666667,2.35,2.1333333333333333,1.8458333333333332,1.8166666666666667,2.2375000000000003,4.0125,6.091666666666666,8.666666666666666,10.108333333333333,9.174999999999999,7.9750000000000005,6.45,5.129166666666666,4.2,3.5181818181818185,2.9909090909090907,2.536363636363636,2.1818181818181817,1.9636363636363638,1.731818181818182,1.4478260869565216,1.3727272727272728,1.268181818181818,1.1217391304347826,1.0083333333333333,0.9541666666666666,0.5916666666666667,0.5833333333333334,1.2875,2.8041666666666667,5.391666666666667,8.450000000000001,8.965217391304348,8.27142857142857,6.782608695652174,4.886363636363637,4.25,3.709090909090909,2.973913043478261,2.4375,1.9875,1.6958333333333335,1.2875,0.725
599c9b80d67eb500118c6b60,51.954793,7.650543,wb132ms,599c9b80d67eb500118c6b5e,°C,1.1333333333333335,1.5374999999999999,1.4333333333333333,0.6333333333333333,0.2625,-0.46249999999999997,-0.8125,-0.8500000000000001,-0.22083333333333333,-0.5291666666666667,0.6541666666666667,2.245833333333333,2.9458333333333333,3.4,3.7083333333333335,3.4875000000000003,2.7375000000000003,1.8166666666666667,0.8727272727272727,0.12105263157894736,-0.5900000000000001,-1.0210526315789474,-1.365,-1.5,-1.431578947368421,-1.6800000000000002,-1.7850000000000001,-1.8157894736842106,-1.8421052631578947,-1.9636363636363638,-2.2166666666666663,-2.3125,-2.5083333333333333,-2.529166666666667,-1.4000000000000001,0.1782608695652174,1.4749999999999999,3.608333333333333,2.1052631578947367,1.9736842105263157,1.2449999999999999,0.2157894736842105,-0.37,-0.7849999999999999,-1.4300000000000002,-1.8499999999999999,-1.6375000000000002,-2.2416666666666667,-2.7416666666666667,-3.069565217391304
59ad958fd67eb50011b85f6f,51.903004,7.635283,Kortumweg,59ad958fd67eb50011b85f6d,°C,0.3054545454545455,0.5563636363636364,0.7374999999999999,-0.6054545454545454,-2.1618181818181816,-2.9145454545454546,-3.2125,-3.265454545454545,-3.0339285714285715,-2.24,-0.24545454545454545,0.975925925925926,2.16,3.290909090909091,3.7436363636363637,3.1214285714285714,1.4490909090909092,-0.4472727272727273,-0.7270833333333333,-1.8857142857142857,-2.5486486486486486,-2.7694444444444444,-2.874285714285714,-2.7594594594594595,-2.557142857142857,-2.4789473684210526,-2.424324324324324,-2.1837837837837837,-2.468571428571429,-2.6958333333333333,-2.758181818181818,-2.9267857142857143,-3.394642857142857,-2.976363636363636,-1.1642857142857144,0.6509090909090909,2.4127272727272726,3.625,2.7125,1.9342857142857144,0.8771428571428571,-0.4216216216216216,-0.8085714285714286,-1.4742857142857144,-2.1512820512820516,-2.669642857142857,-3.1818181818181817,-3.626785714285714,-4,-4.796428571428572
