sensorId,lat,lon,boxName,boxId,unit,temperatur_2019-01-06T23Z,temperatur_2019-01-07T00Z,temperatur_2019-01-07T01Z,temperatur_2019-01-07T02Z,temperatur_2019-01-07T03Z,temperatur_2019-01-07T04Z,temperatur_2019-01-07T05Z,temperatur_2019-01-07T06Z,temperatur_2019-01-07T07Z,temperatur_2019-01-07T08Z,temperatur_2019-01-07T09Z,temperatur_2019-01-07T10Z,temperatur_2019-01-07T11Z,temperatur_2019-01-07T12Z,temperatur_2019-01-07T13Z,temperatur_2019-01-07T14Z,temperatur_2019-01-07T15Z,temperatur_2019-01-07T16Z,temperatur_2019-01-07T17Z,temperatur_2019-01-07T18Z,temperatur_2019-01-07T19Z,temperatur_2019-01-07T20Z,temperatur_2019-01-07T21Z,temperatur_2019-01-07T22Z,temperatur_2019-01-07T23Z,temperatur_2019-01-08T00Z,temperatur_2019-01-08T01Z,temperatur_2019-01-08T02Z,temperatur_2019-01-08T03Z,temperatur_2019-01-08T04Z,temperatur_2019-01-08T05Z,temperatur_2019-01-08T06Z,temperatur_2019-01-08T07Z,temperatur_2019-01-08T08Z,temperatur_2019-01-08T09Z,temperatur_2019-01-08T10Z,temperatur_2019-01-08T11Z,temperatur_2019-01-08T12Z,temperatur_2019-01-08T13Z,temperatur_2019-01-08T14Z,temperatur_2019-01-08T15Z,temperatur_2019-01-08T16Z,temperatur_2019-01-08T17Z,temperatur_2019-01-08T18Z,temperatur_2019-01-08T19Z,temperatur_2019-01-08T20Z,temperatur_2019-01-08T21Z,temperatur_2019-01-08T22Z,temperatur_2019-01-08T23Z,temperatur_2019-01-09T00Z,temperatur_2019-01-09T01Z,temperatur_2019-01-09T02Z,temperatur_2019-01-09T03Z,temperatur_2019-01-09T04Z,temperatur_2019-01-09T05Z,temperatur_2019-01-09T06Z,temperatur_2019-01-09T07Z,temperatur_2019-01-09T08Z,temperatur_2019-01-09T09Z,temperatur_2019-01-09T10Z,temperatur_2019-01-09T11Z,temperatur_2019-01-09T12Z,temperatur_2019-01-09T13Z,temperatur_2019-01-09T14Z,temperatur_2019-01-09T15Z,temperatur_2019-01-09T16Z,temperatur_2019-01-09T17Z,temperatur_2019-01-09T18Z,temperatur_2019-01-09T19Z,temperatur_2019-01-09T20Z,temperatur_2019-01-09T21Z,temperatur_2019-01-09T22Z,temperatur_2019-01-09T23Z,temperatur_2019-01-10T00Z,temperatur_2019-01-10T01Z,temperatur_2019-01-10T02Z,temperatur_2019-01-10T03Z,temperatur_2019-01-10T04Z,temperatur_2019-01-10T05Z,temperatur_2019-01-10T06Z,temperatur_2019-01-10T07Z,temperatur_2019-01-10T08Z,temperatur_2019-01-10T09Z,temperatur_2019-01-10T10Z,temperatur_2019-01-10T11Z,temperatur_2019-01-10T12Z,temperatur_2019-01-10T13Z,temperatur_2019-01-10T14Z,temperatur_2019-01-10T15Z,temperatur_2019-01-10T16Z,temperatur_2019-01-10T17Z,temperatur_2019-01-10T18Z,temperatur_2019-01-10T19Z,temperatur_2019-01-10T20Z,temperatur_2019-01-10T21Z,temperatur_2019-01-10T22Z,temperatur_2019-01-10T23Z,temperatur_2019-01-11T00Z,temperatur_2019-01-11T01Z,temperatur_2019-01-11T02Z,temperatur_2019-01-11T03Z,temperatur_2019-01-11T04Z,temperatur_2019-01-11T05Z,temperatur_2019-01-11T06Z,temperatur_2019-01-11T07Z,temperatur_2019-01-11T08Z,temperatur_2019-01-11T09Z,temperatur_2019-01-11T10Z,temperatur_2019-01-11T11Z,temperatur_2019-01-11T12Z,temperatur_2019-01-11T13Z,temperatur_2019-01-11T14Z,temperatur_2019-01-11T15Z,temperatur_2019-01-11T16Z,temperatur_2019-01-11T17Z,temperatur_2019-01-11T18Z,temperatur_2019-01-11T19Z,temperatur_2019-01-11T20Z,temperatur_2019-01-11T21Z,temperatur_2019-01-11T22Z,temperatur_2019-01-11T23Z,temperatur_2019-01-12T00Z,temperatur_2019-01-12T01Z,temperatur_2019-01-12T02Z,temperatur_2019-01-12T03Z,temperatur_2019-01-12T04Z,temperatur_2019-01-12T05Z,temperatur_2019-01-12T06Z,temperatur_2019-01-12T07Z,temperatur_2019-01-12T08Z,temperatur_2019-01-12T09Z,temperatur_2019-01-12T10Z,temperatur_2019-01-12T11Z,temperatur_2019-01-12T12Z,temperatur_2019-01-12T13Z,temperatur_2019-01-12T14Z,temperatur_2019-01-12T15Z,temperatur_2019-01-12T16Z,temperatur_2019-01-12T17Z,temperatur_2019-01-12T18Z,temperatur_2019-01-12T19Z,temperatur_2019-01-12T20Z,temperatur_2019-01-12T21Z,temperatur_2019-01-12T22Z,temperatur_2019-01-12T23Z,temperatur_2019-01-13T00Z
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,°C,9.00036496350365,8.950579710144927,8.910797101449276,8.98021897810219,8.818550724637682,8.626884057971015,8.316884057971015,7.998248175182482,8.114420289855072,7.941094890510949,7.796423357664233,8.099202898550725,8.345985401459854,8.312773722627737,8.180652173913044,8.321167883211679,8.342408759124089,8.796666666666667,9.104817518248174,9.254057971014493,9.57058394160584,9.311304347826088,9.525182481751825,9.923260869565217,9.540875912408758,9.326231884057972,9.496666666666666,9.547536231884058,9.28087591240876,9.063115942028986,8.948985507246377,8.91948905109489,8.967608695652174,8.908029197080293,8.77644927536232,9.28890510948905,10.110000000000001,10.843138686131386,9.550942028985506,8.833065693430658,8.750797101449274,8.455620437956204,7.9758394160583945,7.961594202898551,8.132773722627737,7.788321167883212,7.739202898550724,7.504963503649636,7.194999999999999,7.090144927536231,6.936159420289854,6.8304379562043795,6.677826086956522,6.505144927536232,6.714014598540146,6.644637681159421,6.714233576642336,7.072173913043478,9.903941605839416,13.025579710144928,11.345912408759125,10.18927536231884,10.181313868613138,8.923478260869565,7.868832116788321,7.098394160583942,6.822773722627738,6.592992700729927,6.4571532846715325,6.426423357664233,6.145217391304348,5.6458394160583945,5.241811594202899,4.954087591240876,4.8652173913043475,4.811094890510949,4.894130434782609,4.784233576642336,4.797007299270073,4.864817518248175,4.956376811594203,5.201897810218978,6.109416058394161,6.953768115942029,6.867299270072993,7.279051094890511,7.547956204379561,7.121544117647058,6.699202898550725,6.342043795620438,6.236521739130435,5.923284671532847,5.96608695652174,5.705766423357665,5.568540145985401,5.102246376811594,4.795507246376811,4.476304347826087,4.495839416058395,4.564565217391304,4.671376811594203,4.855182481751824,5.100217391304348,5.362846715328468,5.841159420289856,6.352919708029197,6.957608695652174,7.838321167883211,8.612608695652174,9.103649635036497,9.755797101449275,10.09919708029197,9.828840579710144,9.893284671532847,9.689565217391305,9.69948905109489,9.521231884057972,9.464671532846715,9.438333333333333,9.206423357664233,9.197753623188406,9.168686131386862,9.060072463768115,9.150652173913043,8.965985401459854,8.81355072463768,8.744347826086956,8.480583941605838,8.305289855072463,8.81731884057971,9.298175182481751,8.390507246376812,8.322554744525547,8.211304347826088,8.455766423357664,8.934710144927536,9.389347826086956,9.442189781021897,9.427463768115942,9.443560606060606,9.389565217391304,9.144014598540146,9.37072463768116,9.265328467153283,9.280072463768116,9.238686131386862
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,°C,6.689166666666666,6.635000000000001,6.554166666666667,6.569166666666667,6.511538461538462,6.29,5.8825,5.7475,5.730833333333333,5.668333333333333,5.686923076923078,5.8933333333333335,6.260000000000001,6.496666666666666,6.638333333333333,6.765000000000001,6.946153846153846,7.2316666666666665,7.613333333333333,7.855833333333333,8.012500000000001,8.126666666666667,8.415833333333333,8.676153846153847,8.191666666666666,7.8133333333333335,8.16,8.223333333333334,8.07,7.923076923076923,7.721666666666667,7.8116666666666665,7.863333333333333,7.5925,7.339166666666666,7.963846153846154,8.395,8.070833333333333,7.166666666666667,7.086666666666666,7.014166666666667,6.677692307692308,6.045000000000001,6.245,5.953333333333333,5.911666666666666,5.995,5.72,5.481538461538462,4.950833333333333,4.993636363636363,4.829999999999999,4.5841666666666665,4.1466666666666665,4.389230769230769,4.328333333333333,4.245833333333334,4.401666666666666,5.1225,5.645833333333333,5.947500000000001,5.885384615384615,5.9425,5.605833333333333,5.0808333333333335,4.491666666666666,4.2225,4.066923076923077,3.785833333333333,3.5,2.9783333333333335,2.6525,2.2441666666666666,1.9038461538461537,1.8208333333333335,1.9174999999999998,1.8575,1.7225000000000001,1.7874999999999999,1.7684615384615385,1.7616666666666667,2.0208333333333335,2.52,3.0033333333333334,3.1199999999999997,3.6046153846153848,3.8041666666666667,3.69,3.465,3.4825,3.513333333333333,3.369230769230769,3.5066666666666664,3.3091666666666666,2.973333333333333,2.8258333333333336,2.6641666666666666,2.5761538461538462,2.625,2.8125,2.8841666666666668,3.1116666666666664,3.4091666666666662,3.6033333333333335,3.8746153846153844,4.2683333333333335,4.819166666666667,5.57,6.668333333333333,7.1825,7.736923076923077,7.988333333333333,7.909166666666667,7.8999999999999995,7.7683333333333335,7.655833333333334,7.377692307692308,7.490833333333334,7.464166666666666,7.371666666666666,7.322500000000001,7.293333333333333,7.2553846153846155,7.190833333333334,7.055,6.945833333333333,6.9191666666666665,6.738333333333333,6.686153846153847,6.695833333333333,6.7058333333333335,6.576666666666667,6.7,6.7775,7.046666666666667,7.396923076923077,7.719166666666666,7.726666666666667,7.77,7.763333333333333,7.288333333333333,7.34,7.498333333333334,7.435833333333334,7.595,7.666666666666667
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,°C,7.9719999999999995,7.864,7.812166666666667,7.846166666666666,7.697500000000001,7.526166666666667,6.9605,6.8228333333333335,6.900666666666667,6.654833333333333,6.646166666666667,6.9045,7.2013559322033895,7.449833333333333,7.666885245901639,7.8415,8.091666666666667,8.344166666666666,8.621333333333332,8.808166666666667,8.991666666666667,9.116333333333333,9.298833333333333,9.567166666666667,9.092833333333335,8.845,9.070833333333333,9.116166666666667,8.85,8.657666666666668,8.549000000000001,8.588666666666667,8.619833333333332,8.661333333333335,8.272,8.793333333333333,9.6705,9.786166666666666,8.202333333333334,8.179833333333333,7.908166666666667,7.463666666666667,6.753333333333333,6.947666666666667,6.734333333333334,6.909999999999999,6.723166666666667,6.474666666666667,6.098666666666667,5.646428571428571,5.729655172413793,5.639649122807017,5.355166666666666,4.983833333333333,5.342833333333333,5.2975,5.049833333333334,7.253833333333334,10.996833333333335,12.259666666666668,8.511999999999999,8.073166666666667,7.976333333333333,7.084833333333333,6.2975,5.924655172413793,5.716666666666667,5.538333333333333,5.306666666666667,4.994406779661017,4.4303333333333335,3.864,3.2986666666666666,2.972666666666667,2.972166666666667,2.7766666666666664,2.7308333333333334,2.6731666666666665,2.804333333333333,2.9828333333333332,3.0334999999999996,3.4258333333333337,4.065833333333333,4.784833333333333,4.720833333333333,5.447,5.841333333333334,5.554666666666667,5.190833333333333,5.008166666666667,4.7495,4.729333333333333,4.884666666666666,4.740666666666667,4.2735,3.928833333333333,3.617166666666667,3.5443333333333333,3.6401639344262295,3.718166666666667,3.8285,4.092333333333333,4.435833333333333,4.854833333333334,5.2203333333333335,5.607666666666666,6.0328333333333335,6.917166666666666,7.8758333333333335,8.427833333333334,8.935,9.162,9.027833333333332,8.9025,8.882833333333334,8.872333333333334,8.615333333333332,8.757166666666667,8.748333333333333,8.6165,8.5365,8.501,8.432833333333333,8.397666666666668,8.330499999999999,8.166333333333334,8.030666666666667,7.785166666666667,7.72,7.65,7.6505,7.537999999999999,7.673666666666667,7.7283333333333335,8.044666666666666,8.521833333333333,8.825833333333332,8.992833333333333,8.971833333333333,8.875833333333334,8.532333333333334,8.510333333333334,8.6895,8.742372881355932,8.771803278688525,8.748666666666667
5837219353fb45000f9478b5,51.9477,7.5875,Westfälisches Pferdemuseum Münster,5837219353fb45000f9478b0,°C,,,,,,,,,,,,5.32,5.783333333333334,6.216666666666666,6.4,6.466666666666666,6.7,7.05,7.416666666666667,7.633333333333333,7.866666666666667,8.059999999999999,8.3,8.450000000000001,7.866666666666667,7.416666666666667,7.966666666666666,7.833333333333333,7.5,7.1499999999999995,7.233333333333333,7.3,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,5.683333333333334,5.616666666666667,5.683333333333334,5.533333333333334,5.033333333333333,4.459999999999999,3.8666666666666667,3.65,3.533333333333333,3.216666666666667,2.5833333333333335,1.7833333333333332,1.08,0.65,0.4666666666666666,0.4166666666666667,0.5499999999999999,0.35000000000000003,0.16666666666666666,0.27999999999999997,0.3,0.18333333333333335,0.4166666666666667,1.2666666666666668,1.75,2.1166666666666667,2.62,3,2.6333333333333333,2.1333333333333333,1.8,1.9666666666666668,2.033333333333333,2.16,2.0833333333333335,1.7666666666666666,1.6666666666666667,1.55,1.55,1.8,2,2.1,2.3833333333333333,2.733333333333333,3.1,3.4499999999999997,3.8166666666666664,4.46,5.283333333333333,6.25,6.8999999999999995,7.766666666666667,7.883333333333334,7.783333333333334,7.540000000000001,7.433333333333334,7.383333333333333,7.05,7.1000000000000005,7.166666666666667,6.983333333333333,6.88,6.766666666666667,6.666666666666667,6.566666666666666,6.483333333333333,6.3500000000000005,6.116666666666667,6.04,6.066666666666666,6.133333333333333,6.3,6.233333333333333,6.483333333333333,6.566666666666666,6.95,7.279999999999999,7.583333333333333,7.516666666666667,7.35,,,,,,,
593bcd656ccf3b0011791f5b,51.960868,7.604288,CYBER Box,593bcd656ccf3b0011791f5a,°C,7.418367346938775,7.365333333333334,7.298333333333333,7.273389830508474,7.111551724137931,6.674666666666667,6.1685,6.164583333333333,6.146,5.987118644067797,6.131785714285714,6.288275862068966,6.531739130434782,6.780689655172413,6.941999999999999,7.003571428571428,7.249347826086957,7.531698113207547,7.875344827586207,8.107457627118643,8.292203389830508,8.452166666666667,8.676724137931034,8.88952380952381,8.684,8.3804,8.572926829268292,8.593829787234043,8.346166666666667,8.177166666666666,8.143620689655172,8.159666666666666,8.1605,8.01037037037037,7.9434545454545455,8.476140350877193,9.48547619047619,10.112,8.818148148148149,8.263061224489796,8.190681818181817,7.4755,7.189661016949152,7.290588235294117,7.3864912280701756,7.106333333333334,6.9225,6.640833333333333,6.4125,6.47406779661017,6.250166666666667,5.856,5.5584999999999996,5.216271186440678,5.2844999999999995,5.1026,5.192558139534884,5.263928571428572,5.9605,8.526949152542372,9.26720930232558,8.984736842105264,8.01925,7.0373809523809525,6.088363636363637,5.660652173913043,5.364285714285715,5.207959183673469,5.0509803921568635,4.829,4.406341463414634,3.900526315789474,3.584761904761905,3.278780487804878,3.127317073170732,3.0875,3.05,2.928813559322034,2.9646666666666666,2.9551666666666665,3.085,3.3026666666666666,3.8583050847457625,4.338166666666667,4.546666666666667,5.050677966101695,5.592203389830509,5.094237288135593,4.8565517241379315,4.617368421052632,4.182564102564102,4.102127659574468,4.409803921568628,4.359999999999999,3.5940000000000003,3.4587804878048782,3.0759574468085105,2.9637288135593223,3.1443333333333334,3.2758333333333334,3.2896666666666667,3.6588333333333334,3.9506666666666663,4.285166666666667,4.639642857142857,5.1997297297297305,5.568888888888889,6.482333333333333,7.709661016949153,8.246136363636364,8.77590909090909,8.903333333333334,9.001833333333334,8.901694915254238,8.7655,8.618,8.370000000000001,8.427948717948718,8.410526315789474,8.363783783783783,8.351020408163265,8.268644067796611,8.126666666666667,7.960847457627119,7.9555,7.8815,7.806271186440678,7.467049180327869,7.237321428571429,7.1692857142857145,7.18342105263158,7.032765957446809,7.188813559322034,7.365166666666667,7.730166666666666,8.179,8.579833333333333,8.653500000000001,8.56875,8.494150943396226,8.412727272727272,8.297222222222222,8.330166666666667,8.23864406779661,8.394615384615385,8.430166666666667
599180be7e280a001044b839,51.929339,7.684194,C1024_balcony,599180be7e280a001044b837,°C,7.972727272727273,7.854166666666667,7.84,7.875,7.895833333333333,7.466666666666666,7.158333333333334,6.75,6.883333333333333,6.636363636363637,6.55,6.722727272727273,6.862500000000001,6.9217391304347835,7.091304347826087,7.05,7.033333333333333,7.2681818181818185,7.604761904761904,7.886363636363637,8,8.123809523809523,8.331818181818182,8.577272727272726,8.545833333333333,8.245833333333334,8.3625,8.458333333333334,8.156,7.729166666666667,7.729166666666667,7.795833333333333,7.795833333333333,7.584,7.291666666666667,7.895238095238095,8.34,9.091666666666667,8.183333333333334,7.958333333333333,7.6125,7.324,6.608333333333333,7.0125,6.858333333333333,6.708333333333333,6.708333333333333,6.591666666666666,6.336,5.9875,6.1049999999999995,5.854545454545455,5.845833333333334,5.704166666666667,5.770833333333333,5.772,5.6375,5.583333333333333,5.895833333333333,6.941666666666666,7.741666666666667,7.8875,9.44,8.9,7.8625,7.304166666666667,6.879166666666666,6.6125,6.391666666666667,6.058333333333334,5.816666666666666,5.416666666666667,5.3125,4.645833333333333,4.358333333333333,4.291666666666667,4.204166666666667,4.133333333333333,3.9958333333333336,4.020833333333333,3.9749999999999996,4.320833333333334,4.841666666666667,5.325,5.458333333333333,5.770833333333333,6.304166666666667,6.133333333333333,5.583333333333333,5.3374999999999995,5.179166666666666,4.629166666666666,4.708333333333333,4.8625,4.458333333333333,4.054166666666666,3.779166666666667,3.4916666666666667,3.5,3.545833333333333,3.5083333333333333,3.7416666666666667,4,4.079166666666667,4.341666666666667,4.6499999999999995,5.1000000000000005,5.620833333333334,6.425,7.0125,7.6875,8.233333333333333,8.295833333333333,8.479166666666666,8.404166666666667,8.491666666666667,8.395833333333334,8.283333333333333,8.237499999999999,8.154166666666667,8.091666666666667,7.9375,7.9624999999999995,7.779166666666666,7.7749999999999995,7.624,7.604166666666667,7.270833333333333,7.1499999999999995,7.016666666666667,6.932,6.866666666666667,6.804166666666667,6.841666666666666,7.070833333333333,7.558333333333334,8.045833333333333,8.245833333333334,8.291666666666666,8.187499999999998,8.333333333333334,7.939130434782609,7.995833333333334,8.0875,8.012500000000001,8.049999999999999
599c9b80d67eb500118c6b60,51.954793,7.650543,wb132ms,599c9b80d67eb500118c6b5e,°C,5.780952380952381,5.678260869565217,5.670833333333333,5.791666666666667,5.5249999999999995,5.220833333333333,5.025,5.013636363636364,4.941666666666666,5,5.131578947368421,5.373684210526315,5.8875,6.1571428571428575,6.114285714285715,6.294736842105263,6.257894736842106,6.578947368421052,6.936842105263159,7.2,7.247368421052631,7.336842105263158,7.545,7.665000000000001,7.013636363636365,6.508333333333333,6.916666666666667,7.2124999999999995,6.9750000000000005,6.841666666666666,6.733333333333333,6.841666666666666,6.920833333333333,6.7,6.366666666666667,7.086956521739131,7.445833333333333,7.179166666666667,5.995833333333334,6.020833333333333,5.95,5.686956521739131,4.7,5.1125,4.766666666666667,4.729166666666667,4.9375,4.527272727272727,4.258333333333334,3.5625,3.6,3.5476190476190474,3.3375,2.9499999999999997,3.35,3.2583333333333333,3.233333333333333,3.3208333333333333,3.9291666666666667,4.383333333333334,4.804166666666666,5.008333333333334,5.066666666666666,4.808333333333333,4.2250000000000005,3.6666666666666665,3.3476190476190473,3.2666666666666666,3.079166666666667,2.634782608695652,2.058333333333333,1.5125,1.0166666666666668,0.7083333333333334,0.6541666666666667,0.6833333333333332,0.6541666666666667,0.5958333333333333,0.6749999999999999,0.7333333333333334,1.2043478260869565,1.4041666666666668,2.004166666666667,2.475,2.6916666666666664,3.2624999999999997,3.3166666666666664,3.2375000000000003,3.0541666666666667,3.317391304347826,3.9699999999999998,3.1260869565217395,2.8333333333333335,2.670833333333333,2.4130434782608696,2.1083333333333334,1.7166666666666668,1.6166666666666665,1.6708333333333334,1.8083333333333333,1.875,2.2130434782608694,2.566666666666667,3.0208333333333335,4.258333333333334,3.7583333333333333,4.4750000000000005,5.529166666666666,6.558333333333334,7.083333333333333,7.713636363636363,7.854166666666667,7.604347826086957,7.5181818181818185,7.291304347826086,7.116666666666666,6.8625,6.995833333333334,6.933333333333334,6.716666666666666,6.591304347826087,6.645833333333333,6.608333333333333,6.445833333333333,6.270833333333333,6.2,6.0874999999999995,5.870833333333334,5.841666666666666,5.858333333333333,6.041666666666667,5.8500000000000005,6.141666666666667,6.195833333333333,6.291666666666667,6.8,7.091666666666666,7.104166666666667,7.2,7.269565217391304,6.675,6.5636363636363635,6.808695652173912,6.741666666666667,6.908333333333334,6.7875000000000005
59c3b5e1d67eb50011335cf3,51.956907,7.633289,Gruenes_Zentrum,59c3b5e1d67eb50011335cee,°C,6.995333333333334,7.015333333333333,7.0008333333333335,7.335,7.0925,6.923166666666666,6.636833333333334,6.578,6.658,6.871333333333333,6.836833333333333,7.159833333333333,7.62967213114754,7.8133333333333335,7.772166666666666,7.8215,7.8975,8.149333333333333,8.505666666666666,8.612333333333334,8.727166666666667,8.811499999999999,8.954833333333333,9.117833333333333,8.320333333333334,7.866,8.232833333333334,8.382666666666667,8.198166666666667,8.077166666666667,7.915333333333334,7.955166666666667,8.022166666666667,7.870166666666666,7.673333333333333,8.303333333333333,8.606333333333334,8.33,7.217833333333333,7.151,7.274,6.684166666666667,5.973333333333333,6.271166666666667,6.066999999999999,6.071166666666667,6.1165,5.752666666666666,5.366666666666666,4.8004999999999995,4.85,4.763000000000001,4.572,4.258333333333334,4.6305,4.650666666666667,4.655333333333333,4.8581666666666665,5.2891666666666675,5.559833333333333,5.8545,6.080166666666667,6.271166666666667,5.925833333333333,5.351833333333333,4.856,4.5553333333333335,4.4855,4.295166666666666,3.9998333333333336,3.4935,2.9998333333333336,2.5636666666666668,2.273,2.1386666666666665,2.1315,,2.0873529411764706,2.0860975609756096,2.0434146341463415,2.3707142857142856,2.81,3.3756666666666666,3.4805,3.9005,4.4976666666666665,4.882499999999999,4.974500000000001,5.009666666666666,4.816,4.966666666666667,4.718333333333334,4.644333333333334,4.490666666666667,4.367333333333334,3.8954999999999997,3.7030000000000003,3.5861666666666663,3.5885000000000002,3.7401666666666666,3.867833333333333,4.031639344262295,4.411333333333333,4.758,5.052666666666667,5.531166666666667,6.420833333333333,7.423333333333333,8.258000000000001,8.6645,9.015333333333333,9.143,8.928166666666668,8.895166666666666,8.680833333333334,8.532333333333334,8.266166666666667,8.451666666666666,8.413,8.155333333333333,8.098333333333333,8.115666666666666,8.171333333333333,8.094833333333334,7.960666666666667,7.929166666666666,7.771833333333333,7.793,7.825833333333334,7.918666666666667,7.911666666666666,7.749333333333333,7.787333333333334,7.787,7.994,8.328666666666667,8.616166666666667,8.5815,8.586666666666668,8.555666666666667,8.109833333333333,7.861000000000001,7.985833333333333,7.956,8.17,8.215833333333332
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,°C,6.6665,6.528499999999999,6.448333333333334,6.412000000000001,6.2556666666666665,5.925,5.649166666666667,5.572,5.645333333333334,5.748833333333334,5.892833333333333,6.139666666666667,6.531499999999999,6.8036666666666665,6.97135593220339,7.1095,7.2588333333333335,7.5584999999999996,7.946833333333333,8.113166666666666,8.283166666666666,8.3805,8.603666666666667,8.749500000000001,8.07,7.9046666666666665,8.309166666666666,8.401,8.099499999999999,7.883,7.853833333333333,7.926833333333334,7.965833333333333,7.6465000000000005,7.423500000000001,8.190166666666666,8.466666666666667,8.176666666666668,7.054833333333334,7.2395000000000005,7.249666666666667,6.678166666666667,6.018,6.1825,5.988,6.094333333333334,6.109166666666667,5.6659999999999995,5.257000000000001,4.706,4.8853333333333335,4.701833333333334,4.606,4.299833333333334,4.549,4.5145,4.507833333333334,4.590166666666666,5.105166666666666,5.603666666666667,5.882833333333334,6.0445,6.1875,5.824666666666667,5.251666666666667,4.687666666666667,4.325166666666666,4.209830508474576,3.979833333333333,3.7128333333333337,3.1545,2.673,2.2678333333333334,1.8761666666666665,1.7096666666666667,1.745,1.6873333333333334,1.5898333333333334,1.6226666666666667,1.6235,1.8555,2.161,2.5476666666666667,2.871864406779661,3.1689999999999996,3.5511666666666666,3.775,3.8155,3.665084745762712,3.6086666666666667,3.6734999999999998,3.506666666666667,3.4683333333333333,3.265,2.9686666666666666,2.763,2.5595,2.4418333333333333,2.5773333333333333,2.781833333333333,2.89,3.1073333333333335,3.4411666666666667,3.846166666666667,4.131833333333334,4.5521666666666665,5.1483333333333325,6.0728333333333335,7.0616666666666665,7.551333333333333,8.322166666666666,8.484666666666666,8.500333333333334,8.542833333333334,8.233833333333333,8.100333333333333,7.986166666666667,8.001,7.8895,7.741166666666667,7.634166666666667,7.603,7.512333333333333,7.3475,7.1995000000000005,7.076666666666667,6.977833333333334,6.773166666666667,6.744166666666667,6.7965,6.946,6.854,6.988333333333333,7.0685,7.36,7.759166666666667,8.132666666666667,8.186,8.205499999999999,8.1215,7.720166666666667,7.5615,7.9093333333333335,7.8373333333333335,7.932666666666666,7.967666666666667
5a0c2cc89fd3c200111118f7,51.960435,7.641426,Umwelthaus Münster,5a0c2cc89fd3c200111118f0,°C,6.7908333333333335,6.631833333333334,6.610333333333333,6.593500000000001,6.464333333333333,6.259661016949153,5.906000000000001,5.805833333333334,5.826,5.854666666666668,5.984166666666667,6.16603448275862,6.5855,6.803666666666667,6.908833333333333,7.012203389830509,7.153666666666667,7.482833333333334,7.805000000000001,7.978,8.111525423728814,8.214745762711864,8.455333333333334,8.651333333333334,8.055833333333334,7.8425,8.1245,8.153,7.992166666666667,7.801333333333333,7.623666666666667,7.789,7.851379310344828,7.527118644067797,7.2057627118644065,7.984915254237288,8.353728813559322,8.304666666666666,7.253389830508475,7.223,7.151,6.713793103448276,6.062666666666667,6.2715000000000005,6.046166666666666,6.0735,6.077796610169491,5.658,5.406000000000001,4.823166666666666,4.846333333333334,4.714166666666667,4.538833333333333,4.136166666666666,4.4485,4.3918333333333335,4.4495000000000005,4.515714285714286,5.105178571428572,5.6689655172413795,6.042542372881356,6.188833333333333,6.2251666666666665,5.861999999999999,5.228,4.776949152542373,4.484385964912281,4.3918333333333335,4.220677966101695,3.8508474576271183,3.298,2.8258333333333336,2.386,2.0696610169491527,1.9903333333333333,2.0038333333333336,1.9963333333333333,1.92,1.9303333333333332,1.928,2.0715,2.3310169491525423,2.7801666666666667,3.160166666666667,3.5268333333333333,3.9616666666666664,4.021016949152543,3.9767796610169492,3.8748333333333336,3.7420338983050847,3.8472413793103444,3.6595,3.5951666666666666,3.3609999999999998,3.2135000000000002,2.9379310344827587,2.770701754385965,2.727241379310345,2.7735593220338988,2.9105,3.0076666666666667,3.235,3.5358333333333336,3.844,4.1285,4.5064406779661015,5.1125,5.946833333333333,7.031666666666666,7.581166666666666,8.13,8.296333333333333,8.199666666666667,8.154333333333334,8.036333333333333,7.96271186440678,7.700666666666667,7.834333333333333,7.768166666666667,7.627666666666667,7.525666666666667,7.5,7.419,7.211166666666667,7.108833333333333,6.975762711864407,6.859166666666667,6.796,6.745333333333334,6.794833333333333,6.87677966101695,6.76406779661017,6.867,6.921666666666667,7.173500000000001,7.543666666666667,7.909166666666667,7.991538461538462,8.006206896551724,7.903333333333333,7.40655172413793,7.2781666666666665,7.5169999999999995,7.50948275862069,7.682666666666666,7.704666666666666
